BLDG_USAGE,用地分类
成套住宅,R
居住,R
宿舍,R3
私宅,R4
商服,C1
商业,C1
商业街,C1
购物中心,C1
办公,C2
商住,C&R
综合,C&R
居住配套,GIC
公共配套,GIC
公共设施,GIC
工业,M
仓储,W
交通,S
电信设施,U
市政设施,U
特殊,D
军事建筑,D
其他,QT
